"","Data","receita_ac","receita_t"
"1",2000-03-31,877498,877498
"2",2000-06-30,1690009,812511
"3",2000-09-30,3522524,1832515
"4",2000-12-31,5250345,1727821
"5",2001-03-31,1515505,1515505
"6",2001-06-30,2867381,1351876
"7",2001-09-30,4375013,1507632
"8",2001-12-31,6525585,2150572
"9",2002-03-31,1661506,1661506
"10",2002-06-30,3205448,1543942
"11",2002-09-30,4889829,1684381
"12",2002-12-31,7325302,2435473
"13",2003-03-31,1985193,1985193
"14",2003-06-30,3852985,1867792
"15",2003-09-30,5873866,2020881
"16",2003-12-31,8683767,2809901
"17",2004-03-31,2370493,2370493
"18",2004-06-30,4552221,2181728
"19",2004-09-30,7503190,2950969
"20",2004-12-31,12006812,4503622
"21",2005-03-31,3695591,3695591
"22",2005-06-30,7399891,3704300
"23",2005-09-30,11310219,3910328
"24",2005-12-31,15958565,4648346
"25",2006-03-31,3969723,3969723
"26",2006-06-30,8006862,4037139
"27",2006-09-30,12344182,4337320
"28",2006-12-31,17613657,5269475
"29",2007-03-31,4655002,4655002
"30",2007-06-30,9180055,4525053
"31",2007-09-30,13821772,4641717
"32",2007-12-31,19648220,5826448
"33",2008-03-31,4847789,4847789
"34",2008-06-30,9587235,4739446
"35",2008-09-30,14397139,4809904
"36",2008-12-31,20899468,6502329
"37",2009-03-31,5655683,5655683
"38",2009-06-30,11003817,5348134
"39",2009-09-30,16415410,5411593
"40",2009-12-31,23194048,6778638
"41",2010-03-31,6121422,6121422
"42",2010-06-30,11799795,5678373
"43",2010-09-30,17777966,5978171
"44",2010-12-31,25233310,7455344
"45",2011-03-31,6562098,6562098
"46",2011-06-30,12373744,5811646
"47",2011-09-30,18748278,6374534
"48",2011-12-31,27126719,8378441
"49",2012-03-31,7235714,7235714
"50",2012-06-30,14061117,6825403
"51",2012-09-30,22097139,8036022
"52",2012-12-31,32231027,10133888
"53",2013-03-31,7772806,7772806
"54",2013-06-30,15275939,7503133
"55",2013-09-30,23738542,8462603
"56",2013-12-31,34791391,11052849
"57",2014-03-31,9045072,9045072
"58",2014-06-30,17222505,8177433
"59",2014-09-30,25846901,8624396
"60",2014-12-31,38079786,12232885
"61",2015-03-31,10768793,10768793
"62",2015-06-30,20678795,9910002
"63",2015-09-30,31423915,10745120
"64",2015-12-31,46720141,15296226
"65",2016-03-31,11565098,11565098
"66",2016-06-30,21942302,10377204
"67",2016-09-30,32425090,10482788
"68",2016-12-31,45602561,13177471
"69",2017-03-31,11241805,11241805
"70",2017-06-30,21509758,10267953
"71",2017-09-30,32872061,11362303
"72",2017-12-31,47899276,15027215
"73",2018-03-31,11640219,11640219
"74",2018-06-30,23149764,11509545
"75",2018-09-30,34213507,11063743
"76",2018-12-31,50231336,16017829
"77",2019-03-31,12640126,12640126
"78",2019-06-30,24785259,12145133
"79",2019-09-30,36742911,11957652
"80",2019-12-31,52599709,15856798
"81",2020-03-31,12602597,12602597
"82",2020-06-30,24217927,11615330
"83",2020-09-30,39822425,15604498
"84",2020-12-31,58378995,18556570
"85",2021-03-31,16639761,16639761
"86",2021-06-30,32350902,15711141
"87",2021-09-30,50843511,18492609
"88",2021-12-31,72854344,22010833
"89",2022-03-31,18439152,18439152
"90",2022-06-30,36428147,17988995
"91",2022-09-30,57015789,20587642
"92",2022-12-31,69832525,12816736
